变量,变量名称,一级类别,二级类别,三级类别,来源模块,代码语言,时间窗口,来源函数,输入字段,缺失值取值,衍生过程
bank_txn_income_centrelink_1m_vs_3m,政府福利收入1月与3月均值之比,收入能力,窗口对比分析,收入能力-窗口对比分析,txn_income_v1_1,Python,全历史/无固定窗口,amount_comparison,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> amount_comparison(全历史/无固定窗口) -> bank_txn_income_centrelink_1m_vs_3m
bank_txn_income_centrelink_3m_vs_6m,政府福利收入3月与6月均值之比,收入能力,窗口对比分析,收入能力-窗口对比分析,txn_income_v1_1,Python,全历史/无固定窗口,amount_comparison,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> amount_comparison(全历史/无固定窗口) -> bank_txn_income_centrelink_3m_vs_6m
bank_txn_income_centrelink_3rdparty_carersbenefits_1m_vs_3m,政府福利收入-护理福利-1月与3月均值之比,收入能力,窗口对比分析,收入能力-窗口对比分析,txn_income_v1_1,Python,全历史/无固定窗口,third_party_amount_comparison,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount_comparison(全历史/无固定窗口) -> bank_txn_income_centrelink_3rdparty_carersbenefits_1m_vs_3m
bank_txn_income_centrelink_3rdparty_carersbenefits_3m_vs_6m,政府福利收入-护理福利-3月与6月均值之比,收入能力,窗口对比分析,收入能力-窗口对比分析,txn_income_v1_1,Python,全历史/无固定窗口,third_party_amount_comparison,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount_comparison(全历史/无固定窗口) -> bank_txn_income_centrelink_3rdparty_carersbenefits_3m_vs_6m
bank_txn_income_centrelink_3rdparty_carersbenefits_count_14d,近14天政府福利收入-护理福利次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近14天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近14天) -> bank_txn_income_centrelink_3rdparty_carersbenefits_count_14d
bank_txn_income_centrelink_3rdparty_carersbenefits_count_168d,近168天政府福利收入-护理福利次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近168天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近168天) -> bank_txn_income_centrelink_3rdparty_carersbenefits_count_168d
bank_txn_income_centrelink_3rdparty_carersbenefits_count_182d,近182天政府福利收入-护理福利次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近182天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近182天) -> bank_txn_income_centrelink_3rdparty_carersbenefits_count_182d
bank_txn_income_centrelink_3rdparty_carersbenefits_count_28d,近28天政府福利收入-护理福利次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近28天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近28天) -> bank_txn_income_centrelink_3rdparty_carersbenefits_count_28d
bank_txn_income_centrelink_3rdparty_carersbenefits_count_56d,近56天政府福利收入-护理福利次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近56天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近56天) -> bank_txn_income_centrelink_3rdparty_carersbenefits_count_56d
bank_txn_income_centrelink_3rdparty_carersbenefits_count_7d,近7天政府福利收入-护理福利次数,收入能力,基础统计-次数,收入能力-基础统计-次数,txn_income_v1_1,Python,近7天,third_party_amount,"流水原始字段[user_id,amount,transaction_date,dr_cr,category,third_party,account_type,balance,bank_account_id] + finv映射表补充字段[tag_level1,tag_level2]",-1000000,流水原始数据 + finv映射 -> SingleApplicationIncomeFeatureEngineer -> third_party_amount(近7天) -> bank_txn_income_centrelink_3rdparty_carersbenefits_count_7d
